compound,P.IN.CCD,P.IN.CCU,P.IN.IHC,P.IN.PBW,P.MI.BAR,P.MI.BCK,P.MI.CLT,P.MI.CRM,P.MI.GRE,P.MI.IND,P.MI.LRB,P.MI.LRH,P.MI.LRW,P.MI.NBC,P.MI.PEA,P.MI.PLS,P.MI.RRB,P.MI.RRD,P.MI.RRR,P.MI.RRS,P.MI.SAG,P.MI.SJO,P.MI.TBC,P.MN.SLR,P.NY.ACR,P.NY.CCI,P.NY.GBF,P.NY.GRF,P.NY.HBK,P.NY.ICB,P.NY.ICR,P.NY.LEY,P.NY.NCG,P.NY.SCH,P.NY.TCR,P.OH.CRI,P.OH.CRM,P.OH.CRP,P.OH.EBR,P.OH.MRW,P.OH.RRB,P.OH.RRS,P.OH.SCE,P.OH.SCO,P.OH.SCT,P.OH.TCD,P.OH.WBR,P.OH.WCI,P.WI.ACA,P.WI.BRO,P.WI.ERG,P.WI.GCK,P.WI.KKL,P.WI.LML,P.WI.MAM,P.WI.MEB,P.WI.MEC,P.WI.MEF,P.WI.MER,P.WI.MET,P.WI.MIE,P.WI.MIM,P.WI.MIP,P.WI.NRL,P.WI.OCM,P.WI.RRC,P.WI.RRL,P.WI.RRR,P.WI.UCJ,P.WI.WMC
IN-CCD,NA,0.000418118,0.000331668,0.016831456,0.001363315,1.29E-07,0.000521134,0.001143105,0.00654349,0.007355029,0.000259812,0.000331668,3.09E-08,0.000951363,4.19E-05,2.04E-06,1.30E-10,1.30E-10,0.026096891,4.12E-09,0.011374199,0.000114134,4.12E-09,0.00654349,1.29E-07,9.54E-07,1.29E-07,0.011374199,1.29E-07,4.12E-09,0.000418118,3.88E-07,0.026096891,3.93E-06,4.12E-09,3.88E-07,0.00920178,1.86E-05,0.008239769,0.00580115,0.151735036,9.54E-07,0.000152674,0.000152674,4.12E-09,0.000418118,0.024003191,9.54E-07,0.030675895,0.000337176,0.011374199,0.018452718,3.93E-06,2.04E-06,0.000259812,3.93E-06,4.12E-09,0.00580115,3.09E-08,6.99E-06,6.99E-06,1.17E-05,0.002586215,0.016831456,3.88E-07,0.001143105,0.000114134,0.022034191,3.88E-07,8.37E-05
IN-CCU,0.000418118,NA,0.000642826,6.00E-05,0.000259812,0.002586215,0.000152674,0.000951363,2.84E-05,0.000418118,9.54E-07,0.00580115,0.002223135,0.01259303,0.013905969,0.004508435,0.000951363,0.000951363,0.001143105,0.001143105,1.17E-05,0.002223135,0.001900368,0.020185499,0.002586215,0.001900368,0.002586215,1.17E-05,0.000642826,0.000521134,0.000331668,0.001363315,0.000521134,0.000521134,0.000521134,0.004508435,0.000114134,0.001900368,0.047855977,4.19E-05,0.354147641,0.000951363,0.007355029,0.001614769,0.000521134,0.005124082,0.106252372,0.001363315,0.000951363,0.000425046,4.19E-05,0.000259812,0.00580115,9.54E-07,0.000114134,0.000642826,0.000521134,4.19E-05,0.000642826,0.00344645,0.00580115,4.19E-05,0.000152674,0.000331668,0.001363315,2.84E-05,0.000951363,0.000785442,0.000785442,0.000785442
IN-IHC,0.000331668,0.000642826,NA,0.008239769,0.024003191,0.001614769,0.022034191,0.035805997,0.000642826,0.001143105,0.003950449,0.026096891,6.00E-05,0.058589475,0.000521134,0.005124082,0.000418118,0.000418118,0.070894318,0.000642826,0.015317329,1.17E-05,0.000152674,0.015317329,0.000418118,0.000259812,0.000114134,0.015317329,0.000259812,0.000521134,0.028319671,8.37E-05,0.028319671,0.001143105,0.000521134,0.000152674,0.002223135,0.01259303,0.151735036,0.000521134,0.64879571,0.001363315,0.033169901,0.033169901,0.000521134,0.05126559,0.226206045,0.002586215,0.041521494,0.000798367,0.011374199,0.038588453,0.000114134,0.000152674,0.011374199,0.004508435,0.000521134,0.016831456,0.000785442,0.000152674,1.86E-05,0.001614769,0.010245194,0.033169901,8.37E-05,0.00344645,0.00654349,0.05126559,0.001614769,0.013905969
IN-PBW,0.016831456,6.00E-05,0.008239769,NA,0.000642826,0.018452718,0.000521134,0.000642826,6.00E-05,1.86E-05,0.000114134,0.075362335,0.041521494,0.066611882,0.084868771,0.026096891,0.015317329,0.015317329,1.17E-05,0.016831456,1.29E-07,0.013905969,0.024003191,0.13094807,0.028319671,0.035805997,0.044609296,1.29E-07,0.011374199,0.010245194,0.002586215,0.018452718,1.29E-07,0.002992864,0.010245194,0.041521494,6.99E-06,0.00920178,0.159105769,2.84E-05,0.541935886,0.015317329,0.106252372,0.013905969,0.010245194,0.038588453,0.429918785,0.035805997,2.04E-06,0.020493925,1.30E-10,3.93E-06,0.047855977,0.000521134,0.001614769,0.00654349,0.010245194,2.04E-06,0.011374199,0.022034191,0.047855977,0.000521134,2.04E-06,3.88E-07,0.018452718,3.93E-06,0.001614769,3.93E-06,0.007355029,0.002586215
MI-BAR,0.001363315,0.000259812,0.024003191,0.000642826,NA,0.001363315,4.12E-09,3.93E-06,0.001900368,0.001143105,2.04E-06,0.001143105,0.00654349,0.000418118,0.038588453,0.000259812,0.001900368,0.001900368,4.19E-05,0.002223135,4.19E-05,0.013905969,0.003950449,0.028319671,0.005124082,0.00920178,0.007355029,4.19E-05,0.005124082,0.002223135,9.54E-07,0.00920178,0.000642826,0.001363315,0.002223135,0.00920178,0.00344645,0.000152674,0.00654349,0.001614769,0.080019376,0.004508435,0.001614769,2.84E-05,0.002223135,0.000200713,0.035805997,0.00654349,6.00E-05,0.003265289,0.000331668,3.93E-06,0.018452718,0.000259812,0.000114134,0.000951363,0.002223135,3.93E-06,0.002586215,0.01259303,0.028319671,0.000152674,0.000114134,4.19E-05,0.00920178,0.000418118,3.93E-06,1.86E-05,0.001614769,1.86E-05
MI-BCK,1.29E-07,0.002586215,0.001614769,0.018452718,0.001363315,NA,0.000521134,0.000642826,0.010245194,0.00580115,0.000785442,0.001900368,2.04E-06,0.001900368,1.86E-05,1.29E-07,4.12E-09,4.12E-09,0.020185499,1.30E-10,0.016831456,6.00E-05,1.29E-07,0.020185499,4.12E-09,2.04E-06,9.54E-07,0.016831456,3.93E-06,1.29E-07,0.000951363,1.17E-05,0.022034191,2.04E-06,1.29E-07,1.29E-07,0.011374199,2.04E-06,0.011374199,0.007355029,0.166699988,2.04E-06,0.000951363,0.000259812,1.29E-07,0.000951363,0.047855977,1.17E-05,0.026096891,0.003751169,0.01259303,0.018452718,2.04E-06,2.84E-05,0.000785442,2.04E-06,1.29E-07,0.00654349,3.09E-08,4.19E-05,2.84E-05,2.84E-05,0.001614769,0.015317329,1.17E-05,0.001363315,1.86E-05,0.018452718,3.88E-07,4.19E-05
MI-CLT,0.000521134,0.000152674,0.022034191,0.000521134,4.12E-09,0.000521134,NA,1.29E-07,0.00344645,0.002223135,9.54E-07,0.000642826,0.004508435,0.000200713,0.028319671,0.000152674,0.000642826,0.000642826,6.00E-05,0.000785442,4.19E-05,0.01259303,0.001900368,0.022034191,0.002586215,0.005124082,0.005124082,4.19E-05,0.001363315,0.000521134,3.09E-08,0.00344645,0.000642826,0.000200713,0.000521134,0.00580115,0.003950449,1.86E-05,0.002992864,0.002992864,0.05484212,0.001143105,0.000785442,2.04E-06,0.000521134,4.19E-05,0.026096891,0.001900368,0.000152674,0.002628008,0.000152674,1.17E-05,0.011374199,8.37E-05,6.99E-06,0.000114134,0.000521134,3.93E-06,0.000642826,0.005124082,0.016831456,1.17E-05,1.86E-05,4.19E-05,0.00344645,0.000114134,3.93E-06,2.84E-05,0.000259812,3.88E-07
MI-CRM,0.001143105,0.000951363,0.035805997,0.000642826,3.93E-06,0.000642826,1.29E-07,NA,0.00654349,0.002223135,8.37E-05,0.002223135,0.008239769,0.000642826,0.033169901,0.000200713,0.000785442,0.000785442,2.84E-05,0.001143105,0.000259812,0.020185499,0.002223135,0.05484212,0.003950449,0.011374199,0.010245194,0.000259812,0.001614769,0.000642826,3.88E-07,0.003950449,0.000331668,0.000114134,0.000642826,0.008239769,0.002992864,8.37E-05,0.00580115,0.00580115,0.062511483,0.000951363,0.002992864,1.86E-05,0.000642826,0.000259812,0.047855977,0.002586215,0.000114134,0.016308778,0.000200713,6.00E-05,0.016831456,0.000259812,6.99E-06,0.000259812,0.000642826,6.00E-05,0.000951363,0.005124082,0.022034191,2.84E-05,1.17E-05,4.19E-05,0.003950449,8.37E-05,3.93E-06,1.86E-05,0.000259812,3.93E-06
MI-GRE,0.00654349,2.84E-05,0.000642826,6.00E-05,0.001900368,0.010245194,0.00344645,0.00654349,NA,2.04E-06,0.000521134,0.058589475,0.00920178,0.089913736,0.018452718,0.015317329,0.008239769,0.008239769,0.001614769,0.007355029,0.000200713,0.000785442,0.010245194,0.089913736,0.008239769,0.008239769,0.008239769,0.000200713,0.01259303,0.00920178,0.00920178,0.015317329,0.000331668,0.00654349,0.00920178,0.010245194,3.93E-06,0.022034191,0.226206045,1.30E-10,0.795414502,0.008239769,0.080019376,0.028319671,0.00920178,0.070894318,0.366251461,0.016831456,0.000521134,0.0127887,0.000259812,0.000642826,0.01259303,0.000200713,0.005124082,0.015317329,0.00920178,0.000642826,0.008239769,0.026096891,0.018452718,0.00344645,0.001363315,0.000951363,0.015317329,0.000642826,0.001900368,0.001363315,0.013905969,0.015317329
MI-IND,0.007355029,0.000418118,0.001143105,1.86E-05,0.001143105,0.00580115,0.002223135,0.002223135,2.04E-06,NA,0.000642826,0.089913736,0.010245194,0.089913736,0.022034191,0.007355029,0.00580115,0.00580115,0.000418118,0.00654349,0.000259812,0.001143105,0.00654349,0.182563979,0.008239769,0.015317329,0.011374199,0.000259812,0.010245194,0.007355029,0.008239769,0.011374199,4.19E-05,0.00344645,0.007355029,0.00920178,9.54E-07,0.01259303,0.275567451,1.29E-07,0.812182698,0.01259303,0.118175957,0.030675895,0.007355029,0.075362335,0.527302354,0.033169901,6.00E-05,0.029924191,0.000114134,0.000331668,0.013905969,0.000331668,0.008239769,0.01259303,0.007355029,0.000259812,0.008239769,0.013905969,0.016831456,0.001614769,0.000200713,0.000152674,0.011374199,0.000114134,0.000259812,0.000259812,0.008239769,0.007355029
MI-LRB,0.000259812,9.54E-07,0.003950449,0.000114134,2.04E-06,0.000785442,9.54E-07,8.37E-05,0.000521134,0.000642826,NA,0.002586215,0.002223135,0.002586215,0.016831456,0.000785442,0.000521134,0.000521134,0.000200713,0.000642826,3.93E-06,0.004508435,0.001363315,0.024003191,0.001900368,0.002223135,0.002586215,3.93E-06,0.000642826,0.000331668,1.86E-05,0.001614769,0.000331668,0.000331668,0.000331668,0.003950449,0.000642826,8.37E-05,0.020185499,0.000331668,0.208063464,0.001614769,0.002586215,0.000152674,0.000331668,0.000642826,0.075362335,0.002223135,0.000259812,0.000425046,4.19E-05,2.84E-05,0.00654349,3.93E-06,0.000114134,0.000114134,0.000331668,3.88E-07,0.000418118,0.002992864,0.008239769,3.93E-06,1.86E-05,4.19E-05,0.001614769,1.17E-05,6.00E-05,0.000114134,0.000259812,1.86E-05
MI-LRH,0.000331668,0.00580115,0.026096891,0.075362335,0.001143105,0.001900368,0.000642826,0.002223135,0.058589475,0.089913736,0.002586215,NA,0.000951363,3.09E-08,0.016831456,0.000259812,0.000951363,0.000951363,0.044609296,0.001614769,0.024003191,0.028319671,0.001143105,0.000152674,0.002992864,0.002992864,0.001614769,0.024003191,0.001614769,0.001143105,6.00E-05,0.001900368,0.106252372,0.002586215,0.001143105,0.00344645,0.118175957,0.000951363,6.99E-06,0.075362335,0.004508435,0.001143105,4.12E-09,3.93E-06,0.001143105,3.88E-07,8.37E-05,0.000331668,0.05484212,0.00020406,0.047855977,0.020185499,0.00654349,0.002992864,0.000152674,0.001614769,0.001143105,0.016831456,0.001900368,0.002992864,0.00580115,0.002223135,0.026096891,0.041521494,0.001900368,0.030675895,0.002992864,0.033169901,0.001614769,0.000521134
MI-LRW,3.09E-08,0.002223135,6.00E-05,0.041521494,0.00654349,2.04E-06,0.004508435,0.008239769,0.00920178,0.010245194,0.002223135,0.000951363,NA,0.002992864,3.93E-06,1.17E-05,1.29E-07,1.29E-07,0.075362335,3.88E-07,0.035805997,1.86E-05,4.12E-09,0.004508435,1.29E-07,3.88E-07,1.30E-10,0.035805997,3.93E-06,2.04E-06,0.003950449,9.54E-07,0.066611882,8.37E-05,2.04E-06,4.12E-09,0.018452718,0.000331668,0.016831456,0.008239769,0.208063464,1.86E-05,0.000642826,0.001614769,2.04E-06,0.002586215,0.033169901,1.86E-05,0.070894318,0.000379136,0.035805997,0.05126559,1.29E-07,6.00E-05,0.002586215,0.000152674,2.04E-06,0.022034191,3.93E-06,6.99E-06,1.29E-07,0.000331668,0.01259303,0.05126559,9.54E-07,0.00654349,0.000642826,0.062511483,2.84E-05,0.001143105
MI-NBC,0.000951363,0.01259303,0.058589475,0.066611882,0.000418118,0.001900368,0.000200713,0.000642826,0.089913736,0.089913736,0.002586215,3.09E-08,0.002992864,NA,0.030675895,0.000152674,0.001614769,0.001614769,0.024003191,0.002586215,0.020185499,0.047855977,0.002223135,0.000785442,0.005124082,0.007355029,0.004508435,0.020185499,0.002992864,0.001900368,1.86E-05,0.003950449,0.080019376,0.002586215,0.001900368,0.00654349,0.137657916,0.000331668,9.54E-07,0.100602632,0.001614769,0.002586215,3.88E-07,3.88E-07,0.001900368,4.12E-09,0.000200713,0.001363315,0.033169901,0.001060959,0.038588453,0.011374199,0.01259303,0.00580115,0.000200713,0.001363315,0.001900368,0.010245194,0.002992864,0.004508435,0.01259303,0.001900368,0.015317329,0.024003191,0.003950449,0.026096891,0.001363315,0.016831456,0.001614769,0.000114134
MI-PEA,4.19E-05,0.013905969,0.000521134,0.084868771,0.038588453,1.86E-05,0.028319671,0.033169901,0.018452718,0.022034191,0.016831456,0.016831456,3.93E-06,0.030675895,NA,0.000418118,2.84E-05,2.84E-05,0.137657916,6.99E-06,0.100602632,6.99E-06,1.86E-05,0.022034191,3.88E-07,3.88E-07,3.88E-07,0.100602632,0.000152674,8.37E-05,0.033169901,0.000114134,0.100602632,0.000785442,8.37E-05,1.29E-07,0.026096891,0.001614769,0.066611882,0.015317329,0.470531995,8.37E-05,0.011374199,0.013905969,8.37E-05,0.024003191,0.137657916,0.000152674,0.151735036,0.008847731,0.080019376,0.137657916,3.09E-08,0.001143105,0.020185499,0.000642826,8.37E-05,0.070894318,2.84E-05,0.000331668,3.93E-06,0.003950449,0.033169901,0.118175957,0.000114134,0.018452718,0.005124082,0.144586301,0.000331668,0.00920178
MI-PLS,2.04E-06,0.004508435,0.005124082,0.026096891,0.000259812,1.29E-07,0.000152674,0.000200713,0.015317329,0.007355029,0.000785442,0.000259812,1.17E-05,0.000152674,0.000418118,NA,9.54E-07,9.54E-07,0.013905969,2.04E-06,0.016831456,0.000785442,2.04E-06,0.013905969,6.99E-06,0.000114134,1.86E-05,0.016831456,8.37E-05,1.17E-05,0.000152674,0.000114134,0.026096891,4.19E-05,1.17E-05,1.17E-05,0.020185499,6.99E-06,0.00344645,0.01259303,0.070894318,6.00E-05,0.000152674,4.19E-05,1.17E-05,0.000152674,0.016831456,0.000114134,0.016831456,0.003265289,0.018452718,0.011374199,0.000114134,0.000152674,0.000521134,6.00E-05,1.17E-05,0.00580115,1.86E-05,0.000200713,0.000331668,0.000114134,0.002992864,0.01259303,0.000114134,0.00344645,2.04E-06,0.011374199,1.86E-05,2.84E-05
MI-RRB,1.30E-10,0.000951363,0.000418118,0.015317329,0.001900368,4.12E-09,0.000642826,0.000785442,0.008239769,0.00580115,0.000521134,0.000951363,1.29E-07,0.001614769,2.84E-05,9.54E-07,NA,0,0.024003191,1.30E-10,0.013905969,8.37E-05,1.30E-10,0.01259303,3.09E-08,2.04E-06,3.88E-07,0.013905969,3.09E-08,1.30E-10,0.000642826,1.29E-07,0.022034191,3.88E-07,1.30E-10,1.29E-07,0.008239769,1.17E-05,0.011374199,0.00654349,0.166699988,3.88E-07,0.000521134,0.000259812,1.30E-10,0.000785442,0.038588453,2.04E-06,0.028319671,0.001269916,0.010245194,0.020185499,2.04E-06,3.93E-06,0.000331668,2.04E-06,1.30E-10,0.00654349,4.12E-09,2.04E-06,3.93E-06,6.99E-06,0.001614769,0.015317329,1.29E-07,0.000785442,6.00E-05,0.020185499,3.09E-08,6.00E-05
MI-RRD,1.30E-10,0.000951363,0.000418118,0.015317329,0.001900368,4.12E-09,0.000642826,0.000785442,0.008239769,0.00580115,0.000521134,0.000951363,1.29E-07,0.001614769,2.84E-05,9.54E-07,0,NA,0.024003191,1.30E-10,0.013905969,8.37E-05,1.30E-10,0.01259303,3.09E-08,2.04E-06,3.88E-07,0.013905969,3.09E-08,1.30E-10,0.000642826,1.29E-07,0.022034191,3.88E-07,1.30E-10,1.29E-07,0.008239769,1.17E-05,0.011374199,0.00654349,0.166699988,3.88E-07,0.000521134,0.000259812,1.30E-10,0.000785442,0.038588453,2.04E-06,0.028319671,0.001269916,0.010245194,0.020185499,2.04E-06,3.93E-06,0.000331668,2.04E-06,1.30E-10,0.00654349,4.12E-09,2.04E-06,3.93E-06,6.99E-06,0.001614769,0.015317329,1.29E-07,0.000785442,6.00E-05,0.020185499,3.09E-08,6.00E-05
MI-RRR,0.026096891,0.001143105,0.070894318,1.17E-05,4.19E-05,0.020185499,6.00E-05,2.84E-05,0.001614769,0.000418118,0.000200713,0.044609296,0.075362335,0.024003191,0.137657916,0.013905969,0.024003191,0.024003191,NA,0.026096891,3.93E-06,0.058589475,0.041521494,0.182563979,0.047855977,0.075362335,0.080019376,3.93E-06,0.030675895,0.020185499,0.000331668,0.05126559,1.29E-07,0.008239769,0.020185499,0.075362335,0.000259812,0.005124082,0.080019376,0.001143105,0.307909876,0.028319671,0.062511483,0.003950449,0.020185499,0.013905969,0.296904116,0.05484212,4.12E-09,0.052015142,6.99E-06,1.29E-07,0.106252372,0.002992864,0.001614769,0.00920178,0.020185499,2.04E-06,0.022034191,0.058589475,0.13094807,0.001614769,1.86E-05,4.12E-09,0.05126559,8.37E-05,0.000521134,1.30E-10,0.01259303,0.001363315
MI-RRS,4.12E-09,0.001143105,0.000642826,0.016831456,0.002223135,1.30E-10,0.000785442,0.001143105,0.007355029,0.00654349,0.000642826,0.001614769,3.88E-07,0.002586215,6.99E-06,2.04E-06,1.30E-10,1.30E-10,0.026096891,NA,0.015317329,2.84E-05,3.09E-08,0.013905969,1.30E-10,1.29E-07,1.29E-07,0.015317329,3.88E-07,4.12E-09,0.001143105,2.04E-06,0.024003191,9.54E-07,4.12E-09,3.09E-08,0.00920178,6.99E-06,0.01259303,0.00580115,0.190835874,1.29E-07,0.000785442,0.000331668,4.12E-09,0.001143105,0.044609296,9.54E-07,0.033169901,0.001931245,0.011374199,0.022034191,3.88E-07,6.99E-06,0.000521134,9.54E-07,4.12E-09,0.007355029,1.30E-10,1.86E-05,6.99E-06,1.86E-05,0.001900368,0.018452718,2.04E-06,0.001143105,8.37E-05,0.024003191,1.29E-07,8.37E-05
MI-SAG,0.011374199,1.17E-05,0.015317329,1.29E-07,4.19E-05,0.016831456,4.19E-05,0.000259812,0.000200713,0.000259812,3.93E-06,0.024003191,0.035805997,0.020185499,0.100602632,0.016831456,0.013905969,0.013905969,3.93E-06,0.015317329,NA,0.024003191,0.024003191,0.062511483,0.028319671,0.030675895,0.038588453,0,0.011374199,0.00920178,0.000331668,0.020185499,3.93E-06,0.003950449,0.00920178,0.044609296,0.000152674,0.003950449,0.062511483,0.000152674,0.307909876,0.015317329,0.035805997,0.002992864,0.00920178,0.00920178,0.208063464,0.026096891,2.04E-06,0.005893287,3.09E-08,3.09E-08,0.05484212,0.000418118,0.000521134,0.003950449,0.00920178,4.12E-09,0.010245194,0.026096891,0.058589475,0.000331668,6.99E-06,1.29E-07,0.020185499,1.86E-05,0.001143105,9.54E-07,0.00654349,0.000785442
MI-SJO,0.000114134,0.002223135,1.17E-05,0.013905969,0.013905969,6.00E-05,0.01259303,0.020185499,0.000785442,0.001143105,0.004508435,0.028319671,1.86E-05,0.047855977,6.99E-06,0.000785442,8.37E-05,8.37E-05,0.058589475,2.84E-05,0.024003191,NA,6.00E-05,0.028319671,3.93E-06,3.93E-06,3.93E-06,0.024003191,0.000331668,0.000200713,0.026096891,0.000259812,0.030675895,0.000418118,0.000200713,2.04E-06,0.003950449,0.002586215,0.112109291,0.000521134,0.602099428,0.000200713,0.026096891,0.018452718,0.000200713,0.038588453,0.208063464,0.000642826,0.044609296,0.005205708,0.016831456,0.038588453,9.54E-07,0.000152674,0.011374199,0.001143105,0.000200713,0.018452718,8.37E-05,0.000642826,1.86E-05,0.001614769,0.008239769,0.038588453,0.000259812,0.005124082,0.001363315,0.05126559,0.000642826,0.00654349
