abbrev,IN-CCD,IN-CCU,IN-IHC,IN-PBW,MI-BAR,MI-BCK,MI-CLT,MI-CRM,MI-GRE,MI-IND,MI-LRB,MI-LRH,MI-LRW,MI-NBC,MI-PEA,MI-PLS,MI-RRB,MI-RRD,MI-RRR,MI-RRS,MI-SAG,MI-SJO,MI-TBC,MN-SLR,NY-ACR,NY-CCI,NY-GBF,NY-GRF,NY-HBK,NY-ICB,NY-ICR,NY-LEY,NY-NCG,NY-SCH,NY-TCR,OH-CRI,OH-CRM,OH-CRP,OH-EBR,OH-MRW,OH-RRB,OH-RRS,OH-SCE,OH-SCO,OH-SCT,OH-TCD,OH-WBR,OH-WCI,WI-ACA,WI-BRO,WI-ERG,WI-GCK,WI-KKL,WI-LML,WI-MAM,WI-MEB,WI-MEC,WI-MEF,WI-MER,WI-MET,WI-MIE,WI-MIM,WI-MIP,WI-NRL,WI-OCM,WI-RRC,WI-RRL,WI-RRR,WI-UCJ,WI-WMC
Anth,0.019514448,0.019094952,0.021215289,0.010592276,0.008627907,0.01423282,0.005359231,0.004760476,0.007821654,0.006727688,0.010444091,0.013511029,0.017150945,0.019944598,0.034268977,0.00676681,0.013411016,0.010936426,0.003406478,0.011468465,0.008671988,0.014959472,0.018017467,0.015075377,0.016247565,0.017842648,0.024162544,0.010802904,0.011885394,0.017140654,0.009815242,0.01334408,0.007539178,0.007658801,0.014304046,0.02848546,0.014606892,0.007638413,0.015302177,0.008309471,0.021557034,0.010738666,0.021153636,0.013858591,0.014332832,0.011209964,0.02680067,0.025037155,0.003485695,0.016709512,0.010550087,0.00215408,0.024034668,0.016366288,0.017265735,0.009346316,0.012658203,0.012323944,0.015887971,0.013457029,0.018946971,0.012813451,0.008708111,0.005364109,0.018902285,0.009469971,0.00938605,0.004944077,0.010881041,0.007728907
BaA,0.060495772,0.062202459,0.077831386,0.054508272,0.062804921,0.065500282,0.045602183,0.047550208,0.079198201,0.0718355,0.060480255,0.027665441,0.07252404,0.030655586,0.078799121,0.05954578,0.066368211,0.057785382,0.048196276,0.065180924,0.050752903,0.083538503,0.061456417,0.064166989,0.06666224,0.080472297,0.074547177,0.055212886,0.065375787,0.058954126,0.05234796,0.068421402,0.056557956,0.061582539,0.072131061,0.066541956,0.076308503,0.050801337,0.025494421,0.078124156,0.018313213,0.056904022,0.045033257,0.044142179,0.059339611,0.04341637,0.017523515,0.058231683,0.043823477,0.077120823,0.060922896,0.037696401,0.074706027,0.062287219,0.060116151,0.052759792,0.060789164,0.05357636,0.068945716,0.066705439,0.076795407,0.063742725,0.058055504,0.048243077,0.069033976,0.062012537,0.066457065,0.042733417,0.056043131,0.046402147
BaP,0.059119901,0.076641381,0.075681289,0.066830969,0.061453973,0.05183643,0.058919059,0.057250861,0.07818487,0.066420532,0.06599161,0.024172794,0.054765214,0.028624192,0.065423481,0.043898426,0.065535198,0.057514963,0.067763301,0.05970401,0.072977141,0.075975002,0.057558731,0.065519907,0.057053033,0.074914319,0.066430151,0.069575638,0.074492984,0.061118906,0.060431101,0.07370656,0.075260012,0.070342097,0.074306331,0.062028624,0.07788361,0.052054765,0.032924539,0.075055378,0.019257617,0.060592679,0.044051903,0.052354677,0.059531839,0.05088968,0.014173431,0.062813677,0.073448982,0.07840617,0.077745336,0.054992397,0.069010117,0.066790795,0.068121174,0.067270537,0.065521315,0.062379177,0.071913259,0.071579461,0.076031357,0.072423869,0.073068103,0.064139948,0.069151232,0.077368269,0.050503173,0.071222362,0.064061454,0.063198347
BbF,0.069681355,0.088359927,0.067527746,0.09118796,0.094875761,0.072289105,0.091204365,0.090444231,0.081161531,0.087526601,0.087212498,0.050965074,0.05946161,0.067405355,0.065277032,0.07538269,0.073227169,0.078538518,0.096803779,0.069280902,0.094394049,0.072074173,0.063318732,0.062620796,0.063512784,0.072907585,0.069065235,0.095393346,0.082437716,0.079646478,0.093725943,0.081147307,0.097576357,0.080861598,0.083772049,0.06504741,0.091960513,0.069902725,0.063943211,0.084326544,0.035599901,0.069071394,0.067059208,0.079943539,0.078257263,0.076939502,0.040201005,0.065372946,0.111113044,0.07840617,0.092896474,0.104472884,0.06897426,0.078724609,0.080521111,0.07793232,0.077665034,0.094621651,0.077241497,0.077279578,0.072205991,0.088752012,0.093120277,0.103439851,0.072662884,0.094761777,0.088461546,0.113298875,0.074562747,0.088803491
BeP,0.049937594,0.075752027,0.062567836,0.063868278,0.07088507,0.050517459,0.070287125,0.066020919,0.072136546,0.065871856,0.066353248,0.045496324,0.041902963,0.054478301,0.047839883,0.053969957,0.057380443,0.053202084,0.074160109,0.053197821,0.076850508,0.061266825,0.043592158,0.076536529,0.044966715,0.058003638,0.046018702,0.073029748,0.059953969,0.047455675,0.07448037,0.0596213,0.06936797,0.056226094,0.060296716,0.045474791,0.068546889,0.053254628,0.072450558,0.068150629,0.040855712,0.050711235,0.057899902,0.06711151,0.052717842,0.067793594,0.04947816,0.05398681,0.079196608,0.082262211,0.069075462,0.076089711,0.047860348,0.059323801,0.06765029,0.056139813,0.052672864,0.075738746,0.054001364,0.054835563,0.053000193,0.064210108,0.067847826,0.066776628,0.052442676,0.068196551,0.064299691,0.080004149,0.051543531,0.064224562
BghiP,0.043041856,0.060214491,0.04974527,0.062164075,0.064575913,0.04614244,0.065057815,0.067464946,0.064916558,0.060082558,0.060133083,0.044715074,0.035811057,0.043397969,0.042997315,0.048394134,0.056450002,0.051913615,0.073104969,0.051183796,0.071217344,0.056387094,0.041642521,0.074410514,0.041460046,0.051070258,0.038491894,0.066033413,0.057317313,0.044676438,0.071401078,0.056582963,0.068125559,0.057033926,0.059136572,0.042065047,0.067249159,0.049044395,0.092669318,0.058512075,0.090991213,0.052732204,0.052011776,0.058770692,0.046257951,0.058113879,0.060043809,0.05510738,0.077131871,0.050128535,0.068294527,0.064242271,0.04399788,0.045041788,0.071103437,0.0519224,0.046064893,0.059444905,0.046561253,0.052785021,0.04298054,0.051142003,0.066389304,0.060038334,0.042383972,0.0608609,0.058504969,0.072034851,0.04713845,0.05681859
BkF,0.068780486,0.080355742,0.063689925,0.086337537,0.08491961,0.07460377,0.085910095,0.079923691,0.093258178,0.086952286,0.082467814,0.03125,0.059075618,0.040627886,0.071486454,0.072911302,0.071921629,0.068034348,0.091280456,0.071347161,0.086420537,0.083047409,0.060348236,0.058755315,0.066778194,0.08061134,0.070559893,0.085594953,0.069827039,0.063819142,0.078137028,0.067474792,0.091759612,0.076360786,0.080555287,0.065413623,0.091291836,0.073855845,0.046210363,0.095218542,0.019832471,0.070837793,0.057027587,0.070062877,0.075561004,0.062704626,0.017910063,0.065695822,0.091538636,0.070694087,0.083042762,0.092118601,0.073616539,0.072504926,0.074242662,0.078677346,0.074714066,0.087890086,0.07725982,0.056939259,0.070851173,0.076547247,0.085136408,0.091418223,0.06657843,0.084440146,0.085319363,0.092018601,0.073616923,0.078182523
Ch,0.088118037,0.104734502,0.103053995,0.092970819,0.10216691,0.086883995,0.095784072,0.089333934,0.102979828,0.09684896,0.093577318,0.117784926,0.080348919,0.108402585,0.070646815,0.087503577,0.086531014,0.087911214,0.090345435,0.089487083,0.095972424,0.093833406,0.081681514,0.083107847,0.083535395,0.091550672,0.083270782,0.107130269,0.089106807,0.089934246,0.091993841,0.091134997,0.091044284,0.086599805,0.085512265,0.074885682,0.090449797,0.080615787,0.09313888,0.101723486,0.090950152,0.086174292,0.107621851,0.10727576,0.090354173,0.099288256,0.13606494,0.077485554,0.097100668,0.095115681,0.09321233,0.110935124,0.08730016,0.088036058,0.106733637,0.085020214,0.086921526,0.097555924,0.086682813,0.084963948,0.092955242,0.095121471,0.093739827,0.101718629,0.090167736,0.093070526,0.095290776,0.101059692,0.084043936,0.095380597
FluA,0.214599965,0.157101753,0.184261516,0.2020398,0.176738708,0.220393191,0.197252176,0.215606082,0.153488078,0.189995641,0.196860987,0.226516544,0.236930466,0.237303786,0.219711984,0.216913448,0.20523775,0.206717329,0.179521354,0.208507199,0.17118106,0.165919076,0.219754041,0.195400077,0.221036085,0.176171722,0.203483958,0.170432116,0.184418837,0.218071523,0.181485758,0.187512997,0.183773354,0.2040616,0.182379877,0.230664925,0.162706609,0.20797266,0.152331234,0.169582365,0.067381128,0.199031598,0.17631665,0.181316566,0.210156413,0.174270463,0.177683288,0.174291453,0.169047495,0.163239075,0.175208042,0.197795236,0.206844545,0.219176654,0.176895307,0.210593574,0.21052202,0.191245512,0.201833955,0.208977606,0.191209114,0.184352901,0.179325121,0.19506849,0.205871948,0.17419713,0.194802422,0.164727644,0.21073319,0.193423612
IndPy,0.047618268,0.056238556,0.049856178,0.066699877,0.069457492,0.056444209,0.067916071,0.070699567,0.064378226,0.067743507,0.062317373,0.021920956,0.041770787,0.032317636,0.049148157,0.054180973,0.05994281,0.055664907,0.081631421,0.056954422,0.072051887,0.06181212,0.051158113,0.036915346,0.04802266,0.055064937,0.044955647,0.069240801,0.062802815,0.051087049,0.06543495,0.060856705,0.075542378,0.065103737,0.067121349,0.048597502,0.075813186,0.055568649,0.040768976,0.061461991,0.021844461,0.051397014,0.040562643,0.055947645,0.055997531,0.051708185,0.010565649,0.0536212,0.086602985,0.044987147,0.073203973,0.073048657,0.049671514,0.055943407,0.061371841,0.061612808,0.05845935,0.065831262,0.059671503,0.057295712,0.054928231,0.069015541,0.073782306,0.076320135,0.054563722,0.073497873,0.070204859,0.086434906,0.05859287,0.066208817
Phen,0.122305175,0.067329323,0.063837625,0.053354658,0.070314606,0.101922853,0.076198519,0.073919747,0.054941575,0.058005794,0.066107334,0.201102941,0.133053593,0.171191136,0.09343422,0.128175966,0.089755893,0.114013951,0.058379446,0.100581344,0.066754354,0.080138623,0.143592793,0.102435253,0.134261463,0.097961699,0.127615365,0.058684619,0.100540847,0.111873743,0.085257891,0.094358629,0.050355311,0.08524716,0.088302762,0.107513312,0.058264113,0.148043795,0.224505579,0.045977633,0.467890285,0.143888779,0.191909279,0.118696266,0.107681723,0.161992883,0.286947558,0.172662827,0.042443118,0.082262211,0.064626121,0.050620882,0.106307172,0.071629398,0.076911003,0.087981031,0.105624108,0.06127451,0.09436002,0.104807109,0.102027327,0.081312307,0.069412475,0.050834882,0.106069154,0.069451628,0.072454271,0.047608346,0.119695417,0.091860607
Pyr,0.156787143,0.151974889,0.180731945,0.149445479,0.133179128,0.159233445,0.140509289,0.137025336,0.147534754,0.141989078,0.14805439,0.194898897,0.167204789,0.16565097,0.160966561,0.152356938,0.154238865,0.157767262,0.135406976,0.163106873,0.132755806,0.151048296,0.157879278,0.165056049,0.156463819,0.143428885,0.151398651,0.138869308,0.141840492,0.15622202,0.135488838,0.145838269,0.133098028,0.148921857,0.132181686,0.163281668,0.124918892,0.151247,0.140260745,0.153557729,0.105526813,0.147920325,0.139352306,0.150519697,0.149811818,0.141672598,0.162607911,0.135693495,0.125067423,0.16066838,0.13122199,0.135833756,0.147676769,0.164175057,0.13906765,0.160743848,0.148387456,0.138117923,0.145640831,0.150374275,0.148068453,0.140566365,0.131414738,0.136637694,0.152171984,0.132672694,0.144315816,0.123913081,0.14908731,0.147767803
